id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
3237201	Ville ès Nouaux	Ville es Nouaux	La Ville es Nouaux,La Ville ès Nouaux,Ville es Nouaux,Ville ès Nouaux	49.19472	-2.12861	P	PPL	JE		0				0		8	Europe/Jersey	2012-01-19
3237203	Grouville	Grouville	Grouville	49.18472	-2.04917	A	ADM1	JE	GB	3237203				4866		14	Europe/Jersey	2013-10-27
3237206	Fort Regent	Fort Regent		49.18109	-2.10637	S	FT	JE		0				0		45	Europe/Jersey	2007-07-28
3237212	Saint Mary	Saint Mary	Saint Mary,Sainte Mathie,Sainte-Marie,St Mary,St. Mary,St. Mary's,St. Mary’s	49.23583	-2.17222	A	ADM1	JE	GB	3237212				1818		96	Europe/Jersey	2022-10-12
3237214	Saint Lawrence	Saint Lawrence	Saint Lawrence,Saint Louothains,Saint-Laurent,St Lawrence,St Louothains,St. Lawrence	49.21528	-2.14	A	ADM1	JE	GB	3237214				5418		81	Europe/Jersey	2021-02-20
3237221	Saint Peter	Saint Peter	Saint Peter,Saint Peter's,Saint Peter’s,Saint Pierre,Saint Pièrre,Saint-Pierre,St Peter,St Pierre,St Pièrre,St. Peter,سینٹ پیٹر، جرسی	49.21333	-2.18194	A	ADM1	JE	GB	3237221				5003		85	Europe/Jersey	2021-02-20
3237229	Saint Ouen	Saint Ouen	Saint Ouen,Saint Ouën,Saint-Ouen,St Ouen,St. Ouen,St. Ouen's,سینٹ وں ، جرسی	49.22667	-2.20556	A	ADM1	JE	GB	3237229				4206		86	Europe/Jersey	2022-10-12
3237233	Les Blanches Banques	Les Blanches Banques	Blanches Banques,Les Blanches Banques	49.19722	-2.21111	T	DUNE	JE		0				0	74	70	Europe/Jersey	2012-01-19
3237235	La Fosse	La Fosse	La Fosse	49.17472	-2.18056	P	PPL	JE	GB	0				0		55	Europe/Jersey	2018-07-15
3237236	Grosse Tête	Grosse Tete	Grosse Tete,Grosse Tête,La Grosse Tete,La Grosse Tête	49.17556	-2.21056	T	RK	JE		0				0		2	Europe/Jersey	2012-01-19
3237242	Jument Rock	Jument Rock	Jument,Jument Rock,La Jument	49.17722	-2.24139	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237243	Noirmontaise Reef	Noirmontaise Reef	Noirmontaise,Noirmontaise Reef	49.17833	-2.25639	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237244	Les Boîteaux	Les Boiteaux	Les Boiteaux,Les Boîteaux	49.18111	-2.26167	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237245	Green Rock	Green Rock	Green Rock	49.18194	-2.26611	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237246	La Boue	La Boue		49.18278	-2.25917	H	RF	JE		0				0		-9999	Europe/Jersey	2007-06-15
3237247	La Frouquie	La Frouquie	La Frouquie	49.1875	-2.25444	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237248	Great Bank	Great Bank	Great Bank	49.19389	-2.27083	H	SHOL	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237249	Flat Rock	Flat Rock	Flat Rock	49.19194	-2.24278	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237250	Sharp Rock	Sharp Rock	Sharp Rock	49.19306	-2.24111	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237251	Rigdon Bank	Rigdon Bank	Rigdon Bank	49.23944	-2.28806	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237252	Petit Étaquerel	Petit Etaquerel	Le Petit Etacquerel,Le Petit Étacquerel,Petit Etaquerel,Petit Étaquerel,Petite Etaquerel	49.23944	-2.25056	T	PT	JE		0				0		-1	Europe/Jersey	2020-06-11
3237253	Grand Étaquerel	Grand Etaquerel	Grand Etaquerel,Grand Étaquerel,Grande Etaquerel,Le Grande Etacquerel,Le Grande Étacquerel	49.2425	-2.25083	T	PT	JE		0				0		3	Europe/Jersey	2020-06-11
3237254	Swashway Channel	Swashway Channel	Swashway Channel	49.23806	-2.28333	H	CHNM	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237255	Mouillière Rock	Mouilliere Rock	Mouilliere Rock,Mouillière Rock	49.24361	-2.26694	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237256	North East Rock	North East Rock	North East Rock	49.24417	-2.2825	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
