id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
6640918	L’Ouziere	L'Ouziere		49.21806	-2.22944	T	BCH	JE		0				0		12	Europe/Jersey	2008-02-09
6640919	Square Fort	Square Fort	La Tour Carre,La Tour Carré,Square Fort	49.21694	-2.22611	S	FT	JE		0				0		7	Europe/Jersey	2012-01-20
6641103	La Rocco Tower	La Rocco Tower	La Rocco Tower,La Tour de la Rocque-Ho	49.19833	-2.23417	S	TOWR	JE		0				0		-9999	Europe/Jersey	2012-01-20
6641104	Le Vermeux	Le Vermeux		49.19861	-2.24111	H	RF	JE		0				0		-9999	Europe/Jersey	2008-02-09
6641105	La Rosière	La Rosiere		49.17861	-2.23694	H	COVE	JE		0				0		-9999	Europe/Jersey	2008-02-09
6641106	La Moye	La Moye		49.1847	-2.22031	P	PPL	JE		3237200				0		59	Europe/Jersey	2020-06-11
6641589	Val de la Mare Reservoir	Val de la Mare Reservoir	Le Val de la Mare Reservoir,Val de la Mare,Val de la Mare Reservoir	49.21556	-2.20556	H	RSV	JE		0				0		45	Europe/Jersey	2014-06-05
6641612	Sillette Passage	Sillette Passage		49.15333	-2.1575	H	CHN	JE		0				0		-9999	Europe/Jersey	2008-02-09
6930747	THE SAVOY	THE SAVOY	The Savoy Jersey	49.19069	-2.1094	S	HTL	JE						0		14	Europe/Jersey	2009-02-19
6943618	Beachcombers Hotel	Beachcombers Hotel		49.18378	-2.05099	S	HTL	JE						0		22	Europe/Jersey	2009-07-21
6943899	The Club Hotel & Spa	The Club Hotel & Spa		49.18163	-2.10234	S	HTL	JE						0		23	Europe/Jersey	2009-07-28
6943910	Hotel Cristina	Hotel Cristina		49.20303	-2.14119	S	HTL	JE						0		58	Europe/Jersey	2009-07-28
6944892	Pomme d'Or Hotel	Pomme d'Or Hotel		49.1829	-2.10845	S	HTL	JE						0		12	Europe/Jersey	2009-08-06
6945211	Merton Hotel	Merton Hotel		49.2013	-2.0699	S	HTL	JE						0		76	Europe/Jersey	2009-08-09
6945303	Golden Sands Hotel	Golden Sands Hotel		49.18483	-2.19574	S	HTL	JE						0		8	Europe/Jersey	2009-08-10
6945966	Radisson SAS Waterfront Hotel	Radisson SAS Waterfront Hotel		49.18324	-2.11445	S	HTL	JE						0		8	Europe/Jersey	2009-08-14
6946073	Hotel Revere	Hotel Revere		49.18783	-2.1141	S	HTL	JE						0		13	Europe/Jersey	2009-08-17
6946080	The Royal Yacht Hotel & Spa	The Royal Yacht Hotel & Spa		49.18201	-2.10843	S	HTL	JE						0		8	Europe/Jersey	2009-08-17
6946086	Hotel Savoy	Hotel Savoy		49.1908	-2.10949	S	HTL	JE						0		14	Europe/Jersey	2009-08-17
6947752	Les Platons	Les Platons		49.2462	-2.1044	P	PPL	JE						0		128	Europe/Jersey	2009-08-26
6947753	Trinity	Trinity	La Trinite,La Trinité,La Trinnete,La Trinneté	49.23408	-2.09272	P	PPL	JE	GB	0				0		110	Europe/Jersey	2022-07-30
6950950	St Mary's Village	St Mary's Village	St Mary	49.23646	-2.17628	P	PPL	JE						0		95	Europe/Jersey	2009-09-23
6950955	St Brelade	St Brelade	St Brelade,St. Brelade	49.19146	-2.20482	P	PPL	JE						0		73	Europe/Jersey	2023-09-19
6950957	St Lawrence	St Lawrence		49.21583	-2.14139	P	PPL	JE						0		83	Europe/Jersey	2009-09-23
6951055	Grouville	Grouville		49.18395	-2.05032	P	PPL	JE						0		19	Europe/Jersey	2009-09-23
7116505	beausite	beausite		49.187	-2.041	S	HTL	JE						0		12	Europe/Jersey	2010-01-12
7117050	grand jersey	grand jersey		49.1874	-2.116	S	HTL	JE						0		10	Europe/Jersey	2010-01-19
7117059	hampshire	hampshire		49.19052	-2.10397	S	HTL	JE						0		15	Europe/Jersey	2010-01-19
7117221	l horizon	l horizon		49.19103	-2.19997	S	HTL	JE						0		73	Europe/Jersey	2010-01-21
7117239	longueville manor	longueville manor		49.18122	-2.0795	S	HTL	JE						0		7	Europe/Jersey	2010-01-21
7117259	mayfair	mayfair		49.18532	-2.0991	S	HTL	JE						0		14	Europe/Jersey	2010-01-21
7117306	metropole	metropole		49.17957	-2.10104	S	HTL	JE						0		10	Europe/Jersey	2010-01-22
7117312	mountview	mountview		49.19402	-2.1101	S	HTL	JE						0		35	Europe/Jersey	2010-01-22
7117466	old court house	old court house		49.19715	-2.03125	S	HTL	JE						0		10	Europe/Jersey	2010-01-25
7117917	shakespeare coast	shakespeare coast		49.17441	-2.08386	S	HTL	JE						0		7	Europe/Jersey	2010-01-27
7117966	somerville	somerville		49.18532	-2.17063	S	HTL	JE						0		41	Europe/Jersey	2010-01-28
7117975	stafford	stafford		49.18778	-2.11348	S	HTL	JE						0		12	Europe/Jersey	2010-01-28
7117991	the inn boutique	the inn boutique		49.194	-2.109	S	HTL	JE						0		30	Europe/Jersey	2010-01-28
7118026	waters edge	waters edge		49.24	-2.052	S	HTL	JE						0		38	Europe/Jersey	2010-01-28
7287755	Saint Clements	Saint Clements	Saint Clements,St Clement,St. Clements	49.17404	-2.05715	P	PPL	JE	GB					0		28	Europe/Jersey	2021-02-20
7303885	Green Island Beach	Green Island Beach		49.16326	-2.07517	T	BCH	JE						0		11	Europe/Jersey	2010-07-20
8181789	Fliquet	Fliquet		49.2278	-2.02869	P	PPL	JE		3237716				0		48	Europe/Jersey	2014-06-09
8181790	La Grève de Lecq	La Greve de Lecq		49.24542	-2.20287	P	PPL	JE		3237229				0		43	Europe/Jersey	2014-06-09
8199130	St Martin	St Martin	St. Martin	49.22006	-2.05127	P	PPL	JE		3237716				0		81	Europe/Jersey	2023-09-20
8410636	Jersey Racecourse	Jersey Racecourse		49.25299	-2.24589	S	RECR	JE						0		74	Europe/Jersey	2012-10-11
8469011	Five Oaks	Five Oaks		49.19828	-2.08139	P	PPL	JE						0		78	Europe/Jersey	2013-02-28
9257758	Apollo Jersey	Apollo Jersey		49.18412	-2.09908	S	HTL	JE						0		15	Europe/Jersey	2014-08-04
9258088	Best Western Royal	Best Western Royal		49.1833	-2.1	S	HTL	JE						0		15	Europe/Jersey	2014-08-04
9258310	Cri	Cri		49.20036	-2.13937	S	HTL	JE						0		33	Europe/Jersey	2014-08-04
9258371	De France	De France		49.19083	-2.09573	S	HTL	JE						0		30	Europe/Jersey	2014-08-04
9258372	De Normandie	De Normandie		49.17683	-2.0953	S	HTL	JE						0		9	Europe/Jersey	2014-08-04
9258519	Fort D'Auvergne Hotel	Fort D'Auvergne Hotel		49.17689	-2.10224	S	HTL	JE						0		9	Europe/Jersey	2014-08-04
9258559	Gol	Gol		49.18526	-2.1967	S	HTL	JE						0		9	Europe/Jersey	2014-08-04
9258568	Grand Jersey Hotel & Spa	Grand Jersey Hotel & Spa		49.18743	-2.11676	S	HTL	JE						0		9	Europe/Jersey	2014-08-04
9258588	Greenhills Country Hotel	Greenhills Country Hotel		49.21667	-2.1325	S	HTL	JE						0		60	Europe/Jersey	2014-08-04
9259009	De Vere Grand Jersey	De Vere Grand Jersey		49.18738	-2.11608	S	HTL	JE						0		10	Europe/Jersey	2014-08-05
9259147	La Place	La Place		49.19595	-2.17701	S	HTL	JE						0		79	Europe/Jersey	2014-08-05
9259198	Les Ormes Leisure Resort	Les Ormes Leisure Resort		49.20288	-2.20208	S	HTL	JE						0		74	Europe/Jersey	2014-08-05
9259199	L'Horizon Beach Hotel & Spa	L'Horizon Beach Hotel & Spa		49.19103	-2.19997	S	HTL	JE						0		73	Europe/Jersey	2014-08-05
9259304	Marina Metro Hotel	Marina Metro Hotel		49.17684	-2.10345	S	HTL	JE						0		11	Europe/Jersey	2014-08-05
9259480	Monterey	Monterey		49.19009	-2.09726	S	HTL	JE						0		15	Europe/Jersey	2014-08-06
9259526	Ommaroo	Ommaroo		49.17755	-2.09912	S	HTL	JE						0		8	Europe/Jersey	2014-08-06
9259572	The Fort D'Auvergne	The Fort D'Auvergne		49.17721	-2.1013	S	HTL	JE						0		8	Europe/Jersey	2014-08-06
9259639	The Metropole Hotel	The Metropole Hotel		49.18005	-2.10079	S	HTL	JE						0		13	Europe/Jersey	2014-08-06
9259650	The Monterey	The Monterey		49.184	-2.078	S	HTL	JE						0		15	Europe/Jersey	2014-08-06
9259733	Peterborough House	Peterborough House		49.21715	-2.13289	S	HTL	JE						0		62	Europe/Jersey	2014-08-06
9259962	Radisson Blu Waterfront Hotel	Radisson Blu Waterfront Hotel		49.18421	-2.11723	S	HTL	JE						0		0	Europe/Jersey	2014-08-06
9259989	Norfolk Lodge	Norfolk Lodge		49.193	-2.106	S	HTL	JE						0		21	Europe/Jersey	2014-08-06
9260036	Uplands Apartments	Uplands Apartments		49.196	-2.113	S	HTL	JE						0		58	Europe/Jersey	2014-08-06
9260130	Runnymede Court Hotel	Runnymede Court Hotel		49.1798	-2.10152	S	HTL	JE						0		13	Europe/Jersey	2014-08-06
9260138	Samares Coast	Samares Coast		49.167	-2.081	S	HTL	JE						0		8	Europe/Jersey	2014-08-06
9538860	St Peter	St Peter		49.21479	-2.18263	P	PPLL	JE		3237221				0		89	Europe/Jersey	2018-08-23
9538861	St Peters Village	St Peters Village	St Peter's Village	49.21294	-2.18353	P	PPL	JE		3237221				0		86	Europe/Jersey	2014-09-13
9538862	La Presse	La Presse		49.21423	-2.19422	P	PPL	JE		3237221				0		84	Europe/Jersey	2014-09-13
9538863	Jubilee	Jubilee	Mont du Jubile,Mont du Jubilé	49.21064	-2.204	T	HLL	JE						0		56	Europe/Jersey	2014-09-13
9538864	The Forgotten Forest Arboretum	The Forgotten Forest Arboretum		49.2172	-2.19697	S	GDN	JE						0		69	Europe/Jersey	2014-09-13
9538865	St Ouen's Manor	St Ouen's Manor	St. Ouen's Manor	49.22499	-2.20014	P	PPL	JE	GB	3237229				0		86	Europe/Jersey	2015-07-16
9538866	St. Peters Arsenal	St. Peters Arsenal	St. Peter's Arsenal	49.20204	-2.1822	P	PPL	JE		3237221				0		85	Europe/Jersey	2014-09-13
9538867	La Fontaine	La Fontaine		49.20742	-2.17546	P	PPL	JE						0		76	Europe/Jersey	2014-09-13
9540285	The Grand Jersey	The Grand Jersey		49.2068	-2.1057	S	HTL	JE						0		79	Europe/Jersey	2014-09-16
9845475	Jersey Port	Jersey Port	Jersey Ferry Port,Jersey Harbour	49.18131	-2.11452	L	PRT	JE						0		7	Europe/Jersey	2014-11-12
9890563	Queens (Jersey)	Queens (Jersey)		49.194	-2.109	S	HTL	JE						0		30	Europe/Jersey	2015-01-08
9890574	Portelet	Portelet		49.1755	-2.1775	S	HTL	JE						0		59	Europe/Jersey	2015-01-08
9890593	Merton Hotel And Suites	Merton Hotel And Suites		49.1797	-2.0939	S	HTL	JE						0		17	Europe/Jersey	2015-01-08
9963897	Highfield Country	Highfield Country		49.2385	-2.0988	S	HTL	JE						0		126	Europe/Jersey	2015-01-19
10099883	The Atlantic Hotel	The Atlantic Hotel		49.18894	-2.2245	S	HTL	JE						0		60	Europe/Jersey	2015-02-14
10105648	Liberty Wharf Apartments By Bridgestreet	Liberty Wharf Apartments By Bridgestreet		49.18368	-2.11021	S	HTL	JE						0		8	Europe/Jersey	2015-02-19
10105650	Chateau La Chaire	Chateau La Chaire		49.23508	-2.0475	S	HTL	JE						0		31	Europe/Jersey	2015-02-19
10106109	Mayfair Hotel St Helier	Mayfair Hotel St Helier		49.18533	-2.0991	S	HTL	JE						0		14	Europe/Jersey	2015-02-19
10106110	Metropole Hotel St Helier	Metropole Hotel St Helier		49.18081	-2.10037	S	HTL	JE						0		17	Europe/Jersey	2015-02-19
10106935	Radisson Blu Waterfront St Helier	Radisson Blu Waterfront St Helier		49.18426	-2.11556	S	HTL	JE						0		7	Europe/Jersey	2015-02-19
10111030	Maison Gorey Hotel	Maison Gorey Hotel		49.19665	-2.03352	S	HTL	JE						0		7	Europe/Jersey	2015-02-22
10115911	Talana Hotel	Talana Hotel		49.17995	-2.09015	S	HTL	JE						0		7	Europe/Jersey	2015-02-24
10121724	Greenhills Country Hotel & Restaurant	Greenhills Country Hotel & Restaurant		49.21923	-2.16965	S	HTL	JE						0		65	Europe/Jersey	2015-02-26
10129091	The Uplands Hotel	The Uplands Hotel		49.19676	-2.11411	S	HTL	JE						0		64	Europe/Jersey	2015-03-09
10129092	The Water's Edge	The Water's Edge		49.2392	-2.08278	S	HTL	JE						0		36	Europe/Jersey	2015-03-09
10129093	The Samares Coast Hotel	The Samares Coast Hotel		49.16715	-2.08241	S	HTL	JE						0		8	Europe/Jersey	2015-03-09
10232950	Undercliff Guest House	Undercliff Guest House		49.2378	-2.08314	S	HTL	JE						0		55	Europe/Jersey	2015-04-23
10232951	The Hampshire Hotel	The Hampshire Hotel		49.19121	-2.10146	S	HTL	JE						0		13	Europe/Jersey	2015-04-23
10238559	Alhambra	Alhambra		49.1782	-2.10094	S	HTL	JE						0		10	Europe/Jersey	2015-04-28
10238572	The Dolphin Hotel	The Dolphin Hotel		49.19997	-2.02087	S	HTL	JE						0		13	Europe/Jersey	2015-04-28
10296062	Bergerac	Bergerac		49.19567	-2.19394	S	HTL	JE						0		64	Europe/Jersey	2015-05-31
10296063	Beaufort	Beaufort		49.1922	-2.10254	S	HTL	JE						0		15	Europe/Jersey	2015-05-31
10302770	The Club Hotel and Spa Bohemia Restaurant	The Club Hotel and Spa Bohemia Restaurant		49.18138	-2.10222	S	HTL	JE						0		23	Europe/Jersey	2015-06-09
10302893	The Norfolk Lodge	The Norfolk Lodge		49.19292	-2.10794	S	HTL	JE						0		21	Europe/Jersey	2015-06-09
10377075	La Saline	La Saline		49.23371	-2.23885	P	PPL	JE						0		68	Europe/Jersey	2015-07-16
10377076	La Porte	La Porte		49.23929	-2.24185	P	PPL	JE						0		8	Europe/Jersey	2015-07-16
10377077	Les Labeurs	Les Labeurs		49.22976	-2.234	P	PPL	JE						0		5	Europe/Jersey	2015-07-16
10377078	La Crabiere	La Crabiere		49.22665	-2.23117	P	PPL	JE						0		6	Europe/Jersey	2015-07-16
10377079	St Ouen's Village	St Ouen's Village		49.23282	-2.20426	P	PPL	JE						0		92	Europe/Jersey	2015-07-16
10377080	St Ouen Town	St Ouen Town	St Quen	49.2345	-2.20353	P	PPL	JE						0		96	Europe/Jersey	2016-02-18
10377081	Creux Baillot	Creux Baillot		49.23492	-2.19774	P	PPL	JE						0		95	Europe/Jersey	2016-02-18
10377082	Leoville	Leoville		49.23828	-2.20714	P	PPL	JE						0		93	Europe/Jersey	2015-07-16
10377083	La Ville de L'Eglise	La Ville de L'Eglise		49.22542	-2.20842	P	PPL	JE						0		82	Europe/Jersey	2015-07-16
10377084	La Caroline	La Caroline		49.22326	-2.20769	P	PPL	JE						0		79	Europe/Jersey	2015-07-16
10377085	L'Amiral	L'Amiral		49.22217	-2.20563	P	PPL	JE						0		76	Europe/Jersey	2015-07-16
10377086	Les Miellse Nature Reserve	Les Miellse Nature Reserve		49.21572	-2.21928	L	RESN	JE	GB					0		6	Europe/Jersey	2015-07-16
10377087	Le Noir Pre	Le Noir Pre	Orchid Meadows	49.21962	-2.22179	V	MDW	JE						0		5	Europe/Jersey	2015-07-16
10377764	Le Port	Le Port		49.20725	-2.22314	P	PPL	JE						0		6	Europe/Jersey	2015-07-19
10377765	Le Braye	Le Braye		49.19808	-2.22439	P	PPL	JE						0		12	Europe/Jersey	2015-07-19
10377766	La Pulente	La Pulente		49.18765	-2.22997	P	PPL	JE						0		28	Europe/Jersey	2015-07-19
10377767	Le Grouet	Le Grouet		49.18238	-2.24181	P	PPL	JE						0		4	Europe/Jersey	2015-07-19
10377768	La Corbiere	La Corbiere		49.18159	-2.23722	P	PPL	JE						0		46	Europe/Jersey	2015-07-19
10377769	Le Mont es Croix	Le Mont es Croix		49.18218	-2.21658	P	PPL	JE						0		65	Europe/Jersey	2015-07-19
10942508	Le Hocq	Le Hocq		49.16823	-2.06178	P	PPLA	JE		3237072				0		11	Europe/Jersey	2015-11-26
11071825	Les St Germain	Les St Germain		49.22511	-2.12062	P	PPL	JE						0		92	Europe/Jersey	2016-02-18
11071826	Vill es Normans	Vill es Normans		49.22547	-2.10663	P	PPL	JE						0		104	Europe/Jersey	2016-02-18
11071827	Trinity Manor	Trinity Manor		49.2273	-2.10221	P	PPL	JE						0		107	Europe/Jersey	2016-02-18
11071828	La Chesnee	La Chesnee		49.22225	-2.09491	P	PPL	JE						0		93	Europe/Jersey	2016-02-18
11071829	Le Hurrel	Le Hurrel		49.21981	-2.09401	P	PPL	JE						0		93	Europe/Jersey	2016-02-18
11071830	Les Vaux	Les Vaux		49.22242	-2.08251	P	PPL	JE						0		74	Europe/Jersey	2016-02-18
11071831	Victoria Village	Victoria Village		49.21594	-2.082	P	PPL	JE						0		83	Europe/Jersey	2016-02-18
11071832	Maufant	Maufant		49.2102	-2.06582	P	PPL	JE						0		88	Europe/Jersey	2016-02-18
11071833	Les Carrieres	Les Carrieres		49.21289	-2.05813	P	PPL	JE						0		78	Europe/Jersey	2016-02-18
11071834	La Thiebaut	La Thiebaut		49.23269	-2.22814	L	PRK	JE	GB					0		56	Europe/Jersey	2016-02-18
11071835	Les Monts	Les Monts		49.23162	-2.22482	T	HLLS	JE						0		70	Europe/Jersey	2016-02-18
11071836	La Robeline	La Robeline		49.23593	-2.22503	P	PPL	JE						0		61	Europe/Jersey	2016-02-18
11071837	Millais	Millais		49.24091	-2.22271	P	PPL	JE						0		83	Europe/Jersey	2016-02-18
11071838	Trodez	Trodez		49.23892	-2.21653	P	PPLL	JE						0		83	Europe/Jersey	2016-02-18
11071839	Le Bas de Lecq	Le Bas de Lecq		49.24806	-2.20885	P	PPL	JE						0		76	Europe/Jersey	2016-02-18
11071841	Les Pallieres	Les Pallieres		49.24789	-2.2319	P	PPL	JE						0		86	Europe/Jersey	2016-02-18
11071842	Model Aircraft Airfield	Model Aircraft Airfield		49.24701	-2.24653	S	AIRF	JE	GB					0		71	Europe/Jersey	2016-02-18
11071843	Plemont	Plemont		49.25666	-2.22761	P	PPL	JE						0		65	Europe/Jersey	2016-02-18
11071844	Gatehouse Ruins and World War II Bunker	Gatehouse Ruins and World War II Bunker		49.25866	-2.22767	S	HSTS	JE						0		48	Europe/Jersey	2016-02-18
11127734	Frémont Point TV Tower	Fremont Point TV Tower		49.25154	-2.13128	S	TOWR	JE						0		107	Europe/Jersey	2016-05-02
12541139	L'lle Perchie	L'lle Perchie	L'lle Perchie	49.16655	-2.17282	T	ISL	JE						0	31	0		2023-06-17
12541175	Les Platons (Jersey)	Les Platons (Jersey)	Les Platons (Jersey)	49.24791	-2.1055	T	HLL	JE	GB					0	136	0	Europe/London	2024-11-12
